date,timestamp,id,pkt,rssi,ax,ay,az,gx,gy,gz,gx_diff,gy_diff,gz_diff
25/06/2024 11:42,254 # timestamp: 85697481342885,81204,19952, RSSI: 44,-186,738,705,44,-91,-18,,,
25/06/2024 11:42,360 # timestamp: 85701776375720,81204,19953, RSSI: 26,-187,737,707,26,-88,-17,,,
25/06/2024 11:42,468 # timestamp: 85706071146405,81204,19954, RSSI: 35,-185,738,702,35,-91,-20,,,
25/06/2024 11:42,574 # timestamp: 85710366179239,81204,19955, RSSI: 31,-185,737,705,31,-89,-19,,,
25/06/2024 11:42,679 # timestamp: 85714661080996,81204,19956, RSSI: 36,-186,740,704,36,-92,-20,,,
25/06/2024 11:42,788 # timestamp: 85718956179367,81204,19957, RSSI: 26,-186,736,708,26,-89,-18,,,
25/06/2024 11:42,895 # timestamp: 85723251081126,81204,19958, RSSI: 34,-186,738,706,34,-90,-19,,,
25/06/2024 11:42,001 # timestamp: 85727546048423,81204,19959, RSSI: 23,-186,737,709,23,-89,-19,,,
25/06/2024 11:42,108 # timestamp: 85731841212324,81204,19960, RSSI: 41,-185,739,704,41,-92,-16,,,
25/06/2024 11:42,216 # timestamp: 85736136048548,81204,19961, RSSI: 37,-184,737,705,37,-92,-18,,,
25/06/2024 11:42,322 # timestamp: 85740431277988,81204,19962, RSSI: 48,-185,738,705,48,-92,-14,,,
25/06/2024 11:42,430 # timestamp: 85744726048678,81204,19963, RSSI: 39,-186,739,710,39,-90,-17,,,
25/06/2024 11:42,535 # timestamp: 85749020950443,81204,19964, RSSI: 14,-185,735,712,14,-85,-18,,,
25/06/2024 11:42,643 # timestamp: 85753315655586,81204,19965, RSSI: 36,-186,741,703,36,-94,-22,,,
25/06/2024 11:42,749 # timestamp: 85757610885033,81204,19966, RSSI: 23,-187,737,705,23,-87,-18,,,
25/06/2024 11:42,857 # timestamp: 85761905786792,81204,19967, RSSI: 27,-185,736,704,27,-88,-19,,,
25/06/2024 11:42,963 # timestamp: 85766200557478,81204,19968, RSSI: 35,-186,738,701,35,-90,-22,,,
25/06/2024 11:42,069 # timestamp: 85770495786920,81204,19969, RSSI: 25,-187,737,705,25,-88,-18,,,
25/06/2024 11:42,176 # timestamp: 85774790688676,81204,19970, RSSI: 39,-186,738,704,39,-92,-19,,,
25/06/2024 11:42,284 # timestamp: 85779085918118,81204,19971, RSSI: 43,-186,738,707,43,-90,-15,,,
25/06/2024 11:42,392 # timestamp: 85783380688806,81204,19972, RSSI: 34,-186,737,707,34,-90,-18,,,
25/06/2024 11:42,498 # timestamp: 85787675721638,81204,19973, RSSI: 37,-186,737,706,37,-90,-17,,,
25/06/2024 11:42,603 # timestamp: 85791970492326,81204,19974, RSSI: 24,-186,736,708,24,-90,-20,,,
25/06/2024 11:42,711 # timestamp: 85796265394083,81204,19975, RSSI: 32,-186,738,706,32,-93,-21,,,
25/06/2024 11:42,816 # timestamp: 85800560689063,81204,19976, RSSI: 36,-186,738,708,36,-89,-16,,,
25/06/2024 11:42,926 # timestamp: 85804855656362,81204,19977, RSSI: 23,-185,734,712,23,-86,-16,,,
25/06/2024 11:42,030 # timestamp: 85809150427045,81204,19978, RSSI: 34,-187,737,707,34,-91,-19,,,
25/06/2024 11:42,139 # timestamp: 85813445525415,81204,19979, RSSI: 30,-185,735,709,30,-89,-17,,,
